_id,NOSUNNUM,BUSLINEID,COMPANY,START,MIDD,END,FKM,FMIN,NOMAL1,NOMAL2,SATTIME,REDTIME,STARTTIME,ENDTIME
130,115-1,5200115100,대진 일신,반송,"반여동수비삼거리","해운대신시가지",36.2 ,120 ,4 ,5~6,5~6,6~7,04:40,22:20
131,128-1,5200128100,금진,"김해구산동",인제대학,덕천R,41.6 ,113 ,6 ,8,8,9 ,04:40,22:30
132,129-1,5200129100,대진,반송,서면,신라대,49.6 ,150 ,6 ,8,7,8 ,05:00,22:00
133,138-1,5200138100,동남,장   림,사상,서면,44.5 ,145 ,7~8,9~10,10~11,11~12,05:00,22:15
134,141(심야),5200141F00,해동,송정,양정,당감동,43,140,15,15,15,15,22:40,23:40
135,148-1,5200148100,대도,엄궁농산물시장,,노포동,0,0,20,20,21,21,04:50,21:00
136,169-1,5200169100,태진,구포3동,신모라,시립도서관,34.0 ,103 ,5 ,6,6,7 ,04:55,22:55
137,183(심야),5200183F00,세익,기장,동래시장,부산대,40.6,120,25,25,25,25,22:45,23:35
138,189-1,5200189100,대진,반송,연산R,사직운동장,30.7 ,120 ,9 ,10~12,10~12,11~13,05:25,22:45
139,88(A),5200088000,신한,태종대,영도대교,당감주공,43.0 ,136 ,8~9,8~9,9~10,10~11,04:46,22:00
140,88(B),5200088000,신한,태종대,영도대교,당감주공,43.0 ,136 ,8~9,8~9,9~10,10~11,04:46,22:00
141,88-1A,5200088100,유한,영도주공,청학동,부산역,17.2 ,70 ,7 ,7 ,8~10,8~10,05:30,23:00
142,88-1B,5200088100,유한,영도주공,청학동,부산역,17.2 ,70 ,7 ,7 ,8~10,8~10,05:30,23:00
143,강서구2,0,알수없음,산업과학고교, ,산업과학고교,0,0,0,0,0,0,06:00,22:00
144,금정구1,0,알수없음,산성공해마을종점, ,산성공해마을종점,0,0,0,0,0,0,06:00,22:00
145,금정구2-1,0,알수없음,범어사역, ,범어사역,0,0,0,0,0,0,06:00,22:00
146,금정구2-2,0,알수없음,범어사역, ,범어사역,0,0,0,0,0,0,06:00,22:00
147,금정구2-3,0,알수없음,범어사역, ,범어사역,0,0,0,0,0,0,06:00,22:00
148,금정구3-1,0,알수없음,구서동전철역, ,금정구청앞,0,0,0,0,0,0,06:00,22:00
149,금정구5,0,알수없음,장전역4번출구, ,장전역4번출구,0,0,0,0,0,0,06:00,22:00
150,금정구5-1,0,알수없음,부산대역, ,부산대역,0,0,0,0,0,0,06:00,22:00
151,금정구6,0,알수없음,선수촌아파트, ,선수촌아파트,0,0,0,0,0,0,06:00,22:00
152,금정구6-1,0,알수없음,우방아파트, ,자유아파트,0,0,0,0,0,0,06:00,22:00
153,금정구7,0,알수없음,부산대역, ,부산대역,0,0,0,0,0,0,06:00,22:00
154,남구1,0,알수없음,청구아파트, ,청구아파트,0,0,0,0,0,0,06:00,22:00
155,남구3,0,알수없음,못골역, ,못골역,0,0,0,0,0,0,06:00,22:00
156,남구5,0,알수없음,종점, ,신연초교,0,0,0,0,0,0,06:00,22:00
157,남구6,0,알수없음,감만현대2차아파트, ,솔개다리,0,0,0,0,0,0,06:00,22:00
158,남구8,0,알수없음,벽산아파트, ,벽산아파트,0,0,0,0,0,0,06:00,22:00
159,남구9,0,알수없음,경동아파트, ,경동아파트,0,0,0,0,0,0,06:00,22:00
160,동구1,0,알수없음,안창마을, ,안창마을,0,0,0,0,0,0,06:00,22:00
161,동구2,0,알수없음,부산진역, ,부산진역,0,0,0,0,0,0,06:00,22:00
162,동래구1,0,알수없음,롯데백화점, ,동래럭키아파트후문,0,0,0,0,0,0,06:00,22:00
163,동래구10,0,알수없음,삼협아파트, ,동서아파트,0,0,0,0,0,0,06:00,22:00
164,동래구2,0,알수없음,동래중학교, ,동래구보건소,0,0,0,0,0,0,06:00,22:00
165,동래구3,0,알수없음,금정마을, ,금정마을,0,0,0,0,0,0,06:00,22:00
166,동래구5,0,알수없음,달북마을, ,달북마을,0,0,0,0,0,0,06:00,22:00
167,동래구6,0,알수없음,현대아파트, ,벽산아파트,0,0,0,0,0,0,06:00,22:00
168,동래구6-1,0,알수없음,롯데낙천대아파트, ,롯데낙천대아파트,0,0,0,0,0,0,06:00,22:00
169,동래구6-2,0,알수없음,장산중학교, ,대림아파트,0,0,0,0,0,0,06:00,22:00
170,동래구7,0,알수없음,혜화여고, ,충렬초교,0,0,0,0,0,0,06:00,22:00
171,동래구8,0,알수없음,사직여중, ,사직여고,0,0,0,0,0,0,06:00,22:00
172,부산진구1,0,알수없음,부전동역, ,부전동역,0,0,0,0,0,0,06:00,22:00
173,부산진구11,0,알수없음,이마트, ,이마트,0,0,0,0,0,0,06:00,22:00
174,부산진구13,0,알수없음,부전동역, ,부전동역,0,0,0,0,0,0,06:00,22:00
175,부산진구15,0,알수없음,원당골, ,원당골,0,0,0,0,0,0,06:00,22:00
176,부산진구17,0,알수없음,동래역, ,동래역,0,0,0,0,0,0,06:00,22:00
177,부산진구2,0,알수없음,영화약국, ,대동아파트,0,0,0,0,0,0,06:00,22:00
178,부산진구6,0,알수없음,동의대본관, ,동의대본관,0,0,0,0,0,0,06:00,22:00
179,부산진구6-1,0,알수없음,동의대본관, ,동의대본관,0,0,0,0,0,0,06:00,22:00
180,부산진구7,0,알수없음,동의공고, ,동의과학대,0,0,0,0,0,0,06:00,22:00
181,부산진구8,0,알수없음,동의의료원(외), ,동호정보고,0,0,0,0,0,0,06:00,22:00
182,부산진구9,0,알수없음,동의대본관, ,동의대본관,0,0,0,0,0,0,06:00,22:00
183,북구1-1,0,알수없음,신덕중교, ,만덕고교,0,0,0,0,0,0,06:00,22:00
