_id,BUSLINENUM,ORD,BUSSTOPNAME,SIGUNNAME,GUNAME,DONGNAME,X,Y,UNIQUEID,BUSSTOPID,REALTIME,
87,100,6,내리,부산광역시,기장군,기장읍,129.2063867,35.20063599,16058,21310111090,202090201,
88,100,7,당사입구,부산광역시,해운대구,송정동,129.2058819,35.19787798,09001,21090561004,202090202,
89,100,8,브라보주유소,부산광역시,해운대구,송정동,129.20516,35.19476676,09003,21090561007,187600301,
90,100,9,송정2휴먼시아,부산광역시,해운대구,송정동,129.2041362,35.19081247,09004,21090561020,187600302,
91,100,10,동일주유소,부산광역시,해운대구,송정동,129.2024416,35.18724746,09006,21090561013,187600303,
92,100,11,송정해수욕장입구,부산광역시,해운대구,송정동,129.2011819,35.18441461,09008,21090561019,187600304,
93,100,12,송정1단지주공,부산광역시,해운대구,송정동,129.1991908,35.18132624,09012,21090561014,184860301,
94,100,13,부흥고 해운대백병원,부산광역시,해운대구,좌제1동,129.1803438,35.17409255,09043,21090661020,186450201,
95,100,14,한라아파트,부산광역시,해운대구,좌제1동,129.1825393,35.17058136,09037,21090661012,185620201,
96,100,15,영남아파트,부산광역시,해운대구,좌제2동,129.182715,35.16869001,09032,21090671004,187170301,
97,100,16,대우아파트,부산광역시,해운대구,좌제2동,129.1813719,35.16741592,09031,21090671005,186420401,
98,100,17,현대아파트,부산광역시,해운대구,좌제2동,129.1784482,35.16555324,09026,21090671006,186330201,
99,100,18,해운대보건소,부산광역시,해운대구,좌제2동,129.1794036,35.16374471,09020,21090671008,186430301,
100,100,19,동백중학교,부산광역시,해운대구,중1동,129.176119,35.16253413,09024,21090531010,186100301,
101,100,20,미포 문탠로드입구,부산광역시,해운대구,중1동,129.1727066,35.16173834,09021,21090531004,186080301,
102,100,21,중1동,부산광역시,해운대구,중1동,129.1675479,35.16220862,09084,21090531007,186030201,
103,100,22,해운대구청,부산광역시,해운대구,중1동,129.164525,35.16309075,09090,21090531008,185950301,
104,100,23,스펀지,부산광역시,해운대구,우1동,129.1616356,35.16533688,09254,21090511011,186410301,
105,100,24,해운대역,부산광역시,해운대구,우1동,129.1588128,35.16375295,09102,21090511019,185960301,
106,100,25,운촌,부산광역시,해운대구,우1동,129.1516338,35.16030928,09120,21090511020,186170301,
107,100,26,동백역,부산광역시,해운대구,우1동,129.1482436,35.16150973,09255,21090511021,185470301,
108,100,27,부산문화여고,부산광역시,해운대구,우1동,129.1449037,35.16316162,09132,21090511022,185470302,
109,100,28,올림픽교차로,부산광역시,해운대구,우2동,129.1406213,35.16752982,09134,21090521008,186260301,
110,100,29,벡스코,부산광역시,해운대구,우2동,129.137412,35.17034498,09139,21090521001,185300501,
111,100,30,삼호가든,부산광역시,해운대구,우2동,129.1353198,35.17126576,09141,21090521010,185070301,
112,100,31,삼성홈플러스,부산광역시,해운대구,우2동,129.1339622,35.17180969,09142,21090521011,185070302,
113,100,32,센텀센시빌,부산광역시,해운대구,우2동,129.1316441,35.17459969,09144,21090521012,184270301,
114,100,33,센텀고등학교,부산광역시,해운대구,재송1동,129.1286759,35.17720333,09146,21090641017,184270302,
115,100,34,유창맨션,부산광역시,해운대구,재송1동,129.1257066,35.17950921,09148,21090641019,184410301,
116,100,35,센텀동부센트레빌,부산광역시,해운대구,재송1동,129.122813,35.18241184,09155,21090641011,184410302,
117,100,36,해운대경찰서,부산광역시,해운대구,재송1동,129.1212068,35.18497501,09158,21090641014,184740301,
